comment,rating,company_name,company_logo,company_website
"Tiger Direct has been around for many years and I have purchased items from it but ten or more years ago.  On Oct 18/14 I ordered a wireless print server and paid $14.25 for shipping and handling.  Payment made through PayPalm on the same day.  The following Monday (20th) I received an e-mail stating that my item had been shipped and providing a UPS tracking number.  The following day I checked the progress of the shipment and was told that it had been delivered.  Used the chat feature and was told that the item was trans shipped and that it would be on its way to me shortly.  Foolishly expecting a further e-mail up-to-date shipping information, I waited until the 27th and then called the chat line again.  I was particularly curious that my order did not show up when I checked my account and all I got was a message saying ""no orders found"". The chat ultimately provided a new shipping reference and I was able to determine that the item had made its way to Concord, ON after stops in several places Concord, ON, Canada  10/29/2014  5:42  Departure Scan Concord, ON, Canada  10/28/2014  0:32  Arrival Scan Windsor, ON, Canada  10/27/2014  20:12  Departure Scan 10/27/2014  18:57  Import Scan 10/27/2014  13:59  Arrival Scan Detroit, MI, United States  10/27/2014  12:21  Arrival Scan Livonia, MI, United States  10/27/2014  11:58  Departure Scan Livonia, MI, United States  10/25/2014  9:56  Arrival Scan Chicago, IL, United States  10/25/2014  3:51  Departure Scan 10/25/2014  1:33  Arrival Scan Addison, IL, United States  10/25/2014  0:54  Departure Scan Addison, IL, United States  10/24/2014  23:17  Export Scan 10/24/2014  23:17  Origin Scan United States  10/24/2014  9:54  Order Processed: Ready for UPS It was now over one week and the item had only just started its shipment to me  I got an e-mail this morning saying ""Thank you for your recent order. Our records indicate your order was completely shipped approximately 10 days ago. At this point, you should have received every item of your order."" I ordered some items on the same day as I placed my TD order about the same weight;  shipping cost less than half of what TD charged and the package was received in nine days. While the shipping processes in this instance were rediculous, the fact that the company never provided any follow up e-mails was abominal. If Tiger Direct expects to compete with online retailers who know what they are doing then it had better pull up its socks and pay attention to its customers.",0,TigerDirect,//s3-eu-west-1.amazonaws.com/tpd/logos/46d4994a000064000500c700/0x0.png,http://www.tigerdirect.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"It was my very first trip with AffordableWorld and it will be my last trip using this travel agency. Over $ 4200 per person this is NOT we expected. Why? Japan: & Hong Kong 1. No welcoming agent upon arrival at the hotel. 2. No meeting scheduled with guide to introduce the traveling companions and describe the itinerary 3. No luggage service whatsoever. == Customers had to carry their own luggage from airport to hotels and from hotels to bus. This is a mandatory service in particular for senior citizens 4. No wake up calls 5. In Japan, guide does not speak English well. Unable to understand most of his explanation 6. In Japan, not enough tours for all that money and too many free days for you to pay more for optional tours 7. Hotel accommodation in Hong Kong was the worst. We extended our stay with an additional 3 nights in the worse hotel in Hong Kong 8. In Hong Kong, we never met any representative from AffordableWorld. The next day, they scheduled a half day tour for us with a free lance guide, who I must say was excellent, but nobody from AffordableWorld. We believe that AW could have sent us a representative to welcome us and talk to us about what to expect and do in Honh Kong. We have been traveling overseas for the last 10 years with one or two  international trips per year. This trip has been the most expensive ones and the most terrible experience.We should get our money back.",0,Affordable World,//s3-eu-west-1.amazonaws.com/tpd/logos/5977d0480000ff0005a76d4f/0x0.png,http://affordableworld.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"I really appreciate Groupon's deals and flash sales, so 2 starts for that. However, I've tried to unsubscribe from Groupon emails about 10 times and I still get several emails every few days. It was so upsetting that I ended up marking all of the emails as spam. Fix your unsubscribe system and 5 stars would be my rating.",0,Groupon,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/4bdc3cf00000640005059fb9/198x149.png,http://www.groupon.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Books for me to buy are way too expensive Cover of book is not good quality,0,Lulu Publishing,//s3-eu-west-1.amazonaws.com/tpd/logos/46dfb40b00006400050136ad/0x0.png,https://www.lulu.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
fed up with continual nagging to give a review.  Raspberry!,0,Biblio,//s3-eu-west-1.amazonaws.com/tpd/screenshots/481734850000640005025770/198x149.png,http://www.biblio.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
"Not satisfied with transmission,when trying to watch a Netflix movie it stops and starts,and the same when on the internet lots of pauses",0,HughesNet,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f590cc80000640005137cef/198x149.png,http://hughesnet.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
What happened to getting a pair for $10 this is bull stuff,0,JustFab US,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f2ad31b000064000512a0ad/198x149.png,http://www.justfab.com/?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Jobs “looking for me” have nothing to do with my experience or credentials   It's crappy matching at best.,0,CareerBuilder,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/542c8d2600006400057aad04/198x149.png,http://www.careerbuilder.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
Really bad customer service not recommended it all,0,Parts Geek,//s3-eu-west-1.amazonaws.com/tpd/screenshots/48e8f359000064000503beb4/198x149.png,http://www.partsgeek.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
The prices are in USD and does not calculate the total of the currency from the country you are form so I thought I was paying $31.99 because there was no currency stated and $51.66 came out of my account,0,Colourpop,//s3-eu-west-1.amazonaws.com/tpd/logos/580b3db10000ff00059662cb/0x0.png,http://colourpop.com?utm_medium=company_profile&utm_source=trustpilot&utm_campaign=logo_click
